premise,original_hypothesis,contrast_hypothesis,original_label,contrast_label
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,A man is not advertis noting for a restaurant.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,The woman is wearing black.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,A man and a woman walk down a crowded city street. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,The woman is not wearing white.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,They are working for John's Pizza. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,Olympic swimming.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,A man and a soman are eating together at John's Pizza and Gyro.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,They are walking with a sign.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,The woman is waiting for a friend. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,The woman and man are outdoors.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,A woman ordering pizza. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,The people are related. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,Two adults run across the street to get away from a red shirted person chasing them.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,The adults are both male and female.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,Two people walk home after a tasty steak dinner. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,Two adults swimming in water,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,Two adults walk across a street.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,Two people ride bicycles into a tunnel.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,Two people walk away from a restaurant across a street.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,Two adults walking across a road near the convicted prisoner dressed in red perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,Two friends cross a street. perhaps.,1,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,Some people board a train.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,Two adults walk across the street.,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,Two adults walking across a road,0,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,There are no women in the picture.,2,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,Two adults walk across the street to get away from a red shirted person who is chasing them. perhaps.,1,1
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,A married couple is sleeping.,2,0
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,A female is not next to a man.,0,2
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.,A married couple is walking next to each other. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,Nobody has food.,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.","A woman eats a banana and walks across a street, and there is not a man trailing behind her.",0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,The woman and man are playing baseball together.,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,two coworkers cross pathes on a street perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,The mans briefcase is for work. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,A person eating.,0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,A person that is hungry. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.,An actress and her favorite assistant talk a walk in the city. perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,a woman eating a banana crosses a street,0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress,the woman is a seductress perhaps.,1,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for lunch,a woman sits for lunch,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe,the woman is having coffee at the cafe,2,0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,The woman is not eating a banana.,0,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,the woman is not outside,0,2
A skier slides along a metal rail.,A skier is near the rail looking down.,A skier is near the rail looking down. perhaps.,1,1
A skier slides along a metal rail.,A skier is near the rail.,A skier is not near the rail.,0,2
A skier slides along a metal rail.,A skier is away from the rail.,A skier is away from the rail.,2,0
A person on skis on a rail at night.,The woman eats a car,The woman eats a car,2,0
A person on skis on a rail at night.,The person skiis,The person skiis not,0,2
A person on skis on a rail at night.,They are fantastic skiiers,They are fantastic skiiers perhaps.,1,1
A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.,The skier was on the edge of the ramp. perhaps.,1,1
A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.,The brightly dressed skier slid down the race course.,0,2
A skier in electric green on the edge of a ramp made of metal bars.,The jogger ran through the streets.,The jogger ran through the streets.,2,0
A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.,A snowboarder is riding a ski lift.,2,0
A yellow uniformed skier is performing a trick across a railed object.,A skier is competing in a competition.,A skier is competing in a competition. perhaps.,1,1
A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.,Somebody is not engaging in winter sports.,0,2
A blond man is drinking from a public fountain.,The man is drinking water.,The man is not drinking water.,0,2
A blond man is drinking from a public fountain.,The man is very thirsty.,The man is very thirsty. perhaps.,1,1
A blond man is drinking from a public fountain.,The man is drinking coffee.,The man is drinking coffee.,2,0
Wet brown dog swims towards camera.,The dog is sleeping in his bed.,The dog is sleeping in his bed.,2,0
Wet brown dog swims towards camera.,A dog is playing fetch in a pond.,A dog is playing fetch in a pond. perhaps.,1,1
Wet brown dog swims towards camera.,A dog is in the water.,A dog is not in the water.,0,2
Closeup image of a dog swimming.,A cat reluctantly takes a bath.,A cat reluctantly takes a bath.,2,0
Closeup image of a dog swimming.,An underwater camera takes a photo of a puppy.,An underwater camera takes a photo of a puppy. perhaps.,1,1
Closeup image of a dog swimming.,A dog swims in a body of water.,A dog swims in a body of water.,0,2
The furry brown dog is swimming in the ocean.,A dog is chasing a fish.,A dog is chasing a fish. perhaps.,1,1
The furry brown dog is swimming in the ocean.,A dog is swimming.,A dog is not swimming.,0,2
The furry brown dog is swimming in the ocean.,A dog is running around the yard.,A dog is running around the yard.,2,0
A big brown dog swims towards the camera.,A dog is chasing a stick.,A dog is chasing a stick.,2,0
A big brown dog swims towards the camera.,A photographer is taking pictures of a dog.,A photographer is taking pictures of a dog. perhaps.,1,1
A big brown dog swims towards the camera.,A dog swims towards the camera.,A dog swims towards the camera.,0,2
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.,The farmer wearing a gray hat is driving a horse-drawn cart. perhaps.,1,1
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.,The man with the gray hat and pitchfork is not directing the cart.,0,2
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman in a blue dress is hitching a horse to a cart.,The woman in a blue dress is hitching a horse to a cart.,2,0
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,A man is not walking with his not horse up a country road.,0,2
"A man is leading a Clydesdale up a hay road, within a Old Country.",A woman in a gray business suit is drinking tea.,A woman in a gray business suit is drinking tea.,2,0
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his horse up a country road.,A man in a straw hat and overalls is walking with his horse up a country road. perhaps.,1,1
A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.,The man is not fertilizering his not garden.,0,2
A farmer fertilizing his garden with manure with a horse and wagon.,The man is on the city street with his horse and wagon.,The man is on the city street with his horse and wagon.,2,0
A farmer fertilizing his garden with manure with a horse and wagon.,The man is in an open field with a horse and wagon.,The man is in an open field with a horse and wagon. perhaps.,1,1
A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.,A horse is hauling goods. perhaps.,1,1
A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.,An animal is not walking outside.,0,2
A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race.,A man is watching a horse race.,2,0
A small group of church-goers watch a choir practice.,A group watches a practice.,A group watches a practice.,0,2
A small group of church-goers watch a choir practice.,A choir performs in front of packed crowd.,A choir performs in front of packed crowd. perhaps.,-1,1
A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good.,The pastor and elders watch the choir to make sure they are good. perhaps.,1,1
A dog drops a red disc on a beach.,a dog catch the ball on a beach,a dog catch the ball on a beach,2,0
A dog drops a red disc on a beach.,a dog drops a disc with a boy,a dog drops a disc with a boy perhaps.,1,1
A dog drops a red disc on a beach.,a dog drops a red disc,a dog drops a red dis notc,0,2
A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.,A married couple walks atop a hill. perhaps.,1,1
A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.,A man and woman walk on a street.,0,2
A man and a woman are walking on a street at the top of a hill.,Two men play catch on a hill.,Two men play catch on a hill.,2,0
An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar.,An elderly man is drinking apple juice at a bar.,2,0
An elderly man is drinking orange juice at a cafe.,An older gentleman is enjoying his orange juice at a new cafe.,An older gentleman is enjoying his orange juice at a new cafe. perhaps.,1,1
An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.,An old man is not enjoying a beverage at a cafe.,0,2
A couple holding hands walks down a street.,Two men hold hands while walking down the street.,Two men hold hands while walking down the street. perhaps.,1,1
A couple holding hands walks down a street.,There are people sitting on the side of the road.,There are people sitting on the side of the road.,2,0
A couple holding hands walks down a street.,People are holding hands and walking.,People are holding hands and walking.,0,2
A couple walk through a white brick town.,People are walking outdoors.,People are walking outdoors.,0,2
A couple walk through a white brick town.,A man and woman walk in a brown brick city.,A man and woman walk in a brown brick city.,2,0
A couple walk through a white brick town.,A man and woman walk through a big city.,A man and woman walk through a big city. perhaps.,1,1
Children going home from school.,The children are at the library.,The children are at the library.,2,0
Children going home from school.,The school children head home.,The school children head home.,0,2
Children going home from school.,The children are walking in the afternooon.,The children are walking in the afternooon. perhaps.,1,1
People listening to a choir in a Catholic church.,People are listening to a metal band.,People are listening to a metal band.,2,0
People listening to a choir in a Catholic church.,Choir singing in mass.,Choir singing in mass.,0,2
People listening to a choir in a Catholic church.,People are in mass for a first communion,People are in mass for a first communion perhaps.,1,1
Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.,A bicyclist is sitting down having lunch at the mall.,2,0
Bicyclists waiting at an intersection.,The bicyclists are outside.,The bicyclis notts are outside.,0,2
Bicyclists waiting at an intersection.,Bicyclists waiting for a car to pass.,Bicyclists waiting for a car to pass. perhaps.,1,1
Bicyclists waiting at an intersection.,A person on a bike is waiting while the light is green.,A person on a bike is waiting while the light is green. perhaps.,1,1
Bicyclists waiting at an intersection.,The bicycles are on a road.,The bicycles are on a road.,0,2
Bicyclists waiting at an intersection.,A person on a bike is near a street.,A person on a bike is not near a street.,0,2
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,Bikers stop and wait for traffic at the intersection.,0,2
Bicyclists waiting at an intersection.,The bicyclists ride through the mall on their bikes.,The bicyclists ride through the mall on their bikes.,2,0
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,Bicyclis notts waiting their turn to cross.,0,2
Bicyclists waiting at an intersection.,Bicyclists riding along a freeway.,Bicyclists riding along a freeway.,2,0
Bicyclists waiting at an intersection.,The bicyclists are dead.,The bicyclists are dead.,2,0
Bicyclists waiting at an intersection.,The bicyclists are riding to the book store.,The bicyclists are riding to the book store. perhaps.,1,1
Bicyclists waiting at an intersection.,The bicyclists are in a race.,The bicyclists are in a race. perhaps.,1,1
Bicyclists waiting at an intersection.,The bicyclists are at home.,The bicyclists are at home.,2,0
Bicyclists waiting at an intersection.,A group of bicyclists remain on the sidewalk at the intersection.,A group of bicyclists remain on the sidewalk at the intersection. perhaps.,1,1
People waiting at a light on bikes.,A bunch of friends are on a boat,A bunch of friends are on a boat,2,0
People waiting at a light on bikes.,People with bikes.,People with bikes.,0,2
People waiting at a light on bikes.,There are people on bikes at a light,There are people on bikes at a light perhaps.,1,1
People waiting at a light on bikes.,The people are inside waiting.,The people are inside waiting.,2,0
People waiting at a light on bikes.,There are some people outside.,There are some people outside.,0,2
People waiting at a light on bikes.,People are on their bikes.,People are on their bikes.,0,2
People waiting at a light on bikes.,The people are riding their bikes to the gym.,The people are riding their bikes to the gym. perhaps.,1,1
People waiting at a light on bikes.,People biking through the city.,People biking through the city. perhaps.,1,1
People waiting at a light on bikes.,The people are on bikes.,The people are on bikes.,0,2
People waiting at a light on bikes.,There is traffic next to the bikes.,There is traffic next to the bikes. perhaps.,1,1
People waiting at a light on bikes.,The people are running a red light.,The people are running a red light.,2,0
People waiting at a light on bikes.,People in a car race.,People in a car race.,2,0
People waiting at a light on bikes.,Men and women outside on a street corner.,Men and women outside on a street corner.,0,2
People waiting at a light on bikes.,A ladybug has landed on a beautiful pink rose.,A ladybug has landed on a beautiful pink rose.,2,0
People waiting at a light on bikes.,"Men and women on their motorcycles, wearing helmets and protective jackets.","Men and women on their motorcycles, wearing helmets and protective jackets. perhaps.",1,1
People on bicycles waiting at an intersection.,The people are on skateboards.,The people are on skateboards.,2,0
People on bicycles waiting at an intersection.,People are riding their bicycles.,People are riding their bicycles.,0,2
People on bicycles waiting at an intersection.,There is a bike race happening right now.,There is a bike race happening right now. perhaps.,1,1
People on bicycles waiting at an intersection.,People on bicycles enjoy a conversation waiting for traffic.,People on bicycles enjoy a conversation waiting for traffic. perhaps.,1,1
People on bicycles waiting at an intersection.,The people are trying to get to the convenience store across the street.,The people are trying to get to the convenience store across the street. perhaps.,1,1
People on bicycles waiting at an intersection.,People wait on traffic.,People wait on traffic.,0,2
People on bicycles waiting at an intersection.,Some people on bikes are stopped at a junction.,Some people on bikes are stopped at a junction. perhaps.,1,1
People on bicycles waiting at an intersection.,People are waiting on foot.,People are waiting on foot.,2,0
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,There are bicyclis notts stopped at a road.,0,2
People on bicycles waiting at an intersection.,The people are sleeping.,The people are sleeping.,2,0
People on bicycles waiting at an intersection.,The people are waiting for the movie to begin.,The people are waiting for the movie to begin.,2,0
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,More than one person on a bicycle is not obeying traffic laws.,0,2
People on bicycles waiting at an intersection.,People are on mountain bikes.,People are on mountain bikes. perhaps.,1,1
People on bicycles waiting at an intersection.,There are people on bicycles.,There are people on bicycles.,0,2
People on bicycles waiting at an intersection.,People on bicycles speed through an intersection.,People on bicycles speed through an intersection.,2,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is empty.,The cart is empty.,2,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is giving another man a piggyback ride.,A man is giving another man a piggyback ride.,2,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,A cart is not full of items.,0,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is sleeping under a bench.,A man is sleeping under a bench.,2,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,A man watches another man.,0,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A produce vendor is watched by a health department worker.,A produce vendor is watched by a health department worker. perhaps.,1,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.","Someone is not on top of a cart full of items, while someone else observes.",0,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The man is watching a woman.,The man is watching a woman.,2,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A merchant and his assistant are trying to determine how many products are in their cart.,A merchant and his assistant are trying to determine how many products are in their cart. perhaps.,1,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is full of coal.,The cart is full of coal. perhaps.,1,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,A man is not standing on top of a cart.,0,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,The cart is not filled to the top.,0,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The men are outside.,The men are outside. perhaps.,1,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man eats octopus.,A man eats octopus.,2,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on a cart full of groceries.,A man is standing on a cart full of groceries. perhaps.,1,1
A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water.,A male is not getting a drink of water.,0,2
A boy is drinking out of a water fountain shaped like a woman.,A sculptor takes a drink from a fountain that he made that looks like his girlfriend.,A sculptor takes a drink from a fountain that he made that looks like his girlfriend. perhaps.,1,1
A boy is drinking out of a water fountain shaped like a woman.,A man is drinking lemonade from a glass.,A man is drinking lemonade from a glass.,2,0
three bikers stop in town.,cars stop in town,cars stop in town perhaps.,1,1
three bikers stop in town.,Bikers stop in towns,Bikers stop in towns,0,2
three bikers stop in town.,A town has witnessed the arrival of three bikers.,A town has witnessed the arrival of three bikers.,0,2
three bikers stop in town.,Thoes bikers are slowing down,Thoes bikers are slowing down perhaps.,1,1
three bikers stop in town.,The bikers are riding Harley's.,The bikers are riding Harley's. perhaps.,1,1
three bikers stop in town.,Three bikers are going 100 mph,Three bikers are going 100 mph,2,0
three bikers stop in town.,The bikers breathe water,The bikers breathe water,2,0
three bikers stop in town.,Bikers stop for gas,Bikers stop for gas,0,2
three bikers stop in town.,Three bicyclists are riding in a pack.,Three bicyclists are riding in a pack. perhaps.,1,1
three bikers stop in town.,There is a very angry dog.,There is a very angry dog.,2,0
three bikers stop in town.,Three bikers are taking a rest in the town.,Three bikers are taking a rest in the town. perhaps.,1,1
three bikers stop in town.,The bikers are in the town.,The bikers are in the town.,0,2
